instance,status,our_objective,our_time_s,ref_tag,ref_objective,verdict
ns1952667,time-limit,0,60.74,=opt=,0.0,no-answer
nu25-pr12,feasible,54190,60.36,=opt=,53904.99999999999,near
nursesched-medium-hint03,time-limit,0,60.00,=opt=,115.0,no-answer
nursesched-sprint02,time-limit,0,77.78,=opt=,57.99999999999999,no-answer
nw04,feasible,16908,60.09,=opt=,16862.0,near
opm2-z10-s4,time-limit,0,60.02,=opt=,-33269.0,no-answer
p200x1188c,feasible,15531,60.00,=opt=,15078.0,MISMATCH
peg-solitaire-a3,time-limit,0,75.69,=opt=,1.0,no-answer
pg,feasible,-8247.137335,60.00,=opt=,-8674.34260712,MISMATCH
pg5_34,feasible,-14078.85198,60.00,=opt=,-14339.35345,MISMATCH
physiciansched3-3,time-limit,0,60.01,=opt=,2623271.326667,no-answer
physiciansched6-2,time-limit,0,60.01,=opt=,49324.0,no-answer
piperout-08,time-limit,0,65.12,=opt=,125054.9999999999,no-answer
piperout-27,error,0,34.21,=opt=,8123.999999999973,no-answer
pk1,feasible,15,60.00,=opt=,11.0,MISMATCH
proteindesign121hz512p9,time-limit,0,68.17,=opt=,1473.0,no-answer
proteindesign122trx11p8,error,0,11.25,=opt=,1747.0,no-answer
qap10,time-limit,0,60.02,=opt=,339.9999999983871,no-answer
radiationm18-12-05,time-limit,0,60.01,=opt=,17566.0,no-answer
radiationm40-10-02,time-limit,0,60.01,=opt=,155328.0,no-answer
rail01,time-limit,0,60.01,=opt=,-70.5699643,no-answer
rail02,time-limit,0,60.01,=opt=,-200.4499077,no-answer
rail507,feasible,577,65.82,=opt=,174.0,MISMATCH
ran14x18-disj-8,feasible,4470,60.01,=opt=,3712.0,MISMATCH
rd-rplusc-21,infeasible,0,27.41,=opt=,165395.275295,no-answer
reblock115,time-limit,0,60.50,=opt=,-36800603.2332,no-answer
rmatr100-p10,time-limit,0,60.00,=opt=,423.0,no-answer
rmatr200-p5,time-limit,0,60.01,=opt=,4521.0,no-answer
rocI-4-11,time-limit,0,60.00,=opt=,-6020203.0,no-answer
rocII-5-11,time-limit,0,80.77,=opt=,-6.675504731538,no-answer
rococoB10-011000,time-limit,0,113.60,=opt=,19449.0,no-answer
rococoC10-001000,time-limit,0,66.37,=opt=,11460.0,no-answer
roi2alpha3n4,time-limit,0,60.00,=opt=,-63.20849503,no-answer
roi5alpha10n8,time-limit,0,60.02,=opt=,-52.322274351,no-answer
roll3000,time-limit,0,60.23,=opt=,12889.999992,no-answer
s100,time-limit,0,60.01,=opt=,-0.1697235270583,no-answer
s250r10,time-limit,0,60.01,=opt=,-0.1717804834232,no-answer
satellites2-40,time-limit,0,60.10,=opt=,-19.0,no-answer
satellites2-60-fs,time-limit,0,60.00,=opt=,-19.0000000001,no-answer
savsched1,time-limit,0,60.02,=opt=,3217.7,no-answer
sct2,time-limit,0,68.21,=opt=,-230.9891623,no-answer
seymour,feasible,813,60.43,=opt=,423.0,MISMATCH
seymour1,feasible,499.2507293,60.30,=opt=,410.76370139,MISMATCH
sing326,time-limit,0,60.01,=opt=,7753674.85376,no-answer
sing44,time-limit,0,60.00,=opt=,8128831.1772,no-answer
